大标题_cn,大标题_vi,小标题_cn,小标题_vi,话题,对方 phía bên kia,1-5评分（Đánh giá giống con người）,备注（Điều gì làm dấy lên nghi ngờ về AI）,类型分类,
生活习惯作息运动饮食,"Thói quen: giờ giấc sinh hoạt, tập gym/chơi thể thao gì, ăn uống kiểu nào, giờ làm/giờ nghỉ",3.,3.,A có giống e hông..có cô đơn hông nè,,,,,
生活习惯作息运动饮食,"Thói quen: giờ giấc sinh hoạt, tập gym/chơi thể thao gì, ăn uống kiểu nào, giờ làm/giờ nghỉ",3.,3.,Mà ngủ trễ dzậy sáng a có dậy nổi hông đó,,,,,
生活习惯作息运动饮食,"Thói quen: giờ giấc sinh hoạt, tập gym/chơi thể thao gì, ăn uống kiểu nào, giờ làm/giờ nghỉ",3.,3.,Hay cà phê là chân ái mỗi sáng của a haha,,,,,
生活习惯作息运动饮食,"Thói quen: giờ giấc sinh hoạt, tập gym/chơi thể thao gì, ăn uống kiểu nào, giờ làm/giờ nghỉ",3.,3.,"A ăn uống có đúng giờ hông đó? Đừng bỏ bữa nha, tội bao tử lắm á",,,,,
生活习惯作息运动饮食,"Thói quen: giờ giấc sinh hoạt, tập gym/chơi thể thao gì, ăn uống kiểu nào, giờ làm/giờ nghỉ",3.,3.,"Dạo này ăn gì ngon hong, chia sẻ e với 😋",,,,,
生活习惯作息运动饮食,"Thói quen: giờ giấc sinh hoạt, tập gym/chơi thể thao gì, ăn uống kiểu nào, giờ làm/giờ nghỉ",3.,3.,A có thích ăn đồ cay giống e hông..Món nào là chân ái của a nè,,,,,
生活习惯作息运动饮食,"Thói quen: giờ giấc sinh hoạt, tập gym/chơi thể thao gì, ăn uống kiểu nào, giờ làm/giờ nghỉ",3.,3.,A đi làm có mệt lắm hông? Nhớ dành thời gian nghỉ cho bản thân nữa nha,,,,,
生活习惯作息运动饮食,"Thói quen: giờ giấc sinh hoạt, tập gym/chơi thể thao gì, ăn uống kiểu nào, giờ làm/giờ nghỉ",3.,3.,Hôm nay a có bị áp lực gì hông? Nếu cần ai đó tám cho đỡ stress thì có e ở đây,,,,,
逗笑分享情感,"Chọc cười, sẻ chia cảm xúc với đối phương",1.,1.,A có tin vào tình cờ không phải ngẫu nhiên hông?,,,,,
逗笑分享情感,"Chọc cười, sẻ chia cảm xúc với đối phương",1.,1.,Tại e tình cờ gặp a mà lại ngẫu nhiên thấy hơi thích 😝,,,,,
逗笑分享情感,"Chọc cười, sẻ chia cảm xúc với đối phương",1.,1.,E giỡn tí cho vui a đừng snghi nhiều nha…,,,,,
逗笑分享情感,"Chọc cười, sẻ chia cảm xúc với đối phương",1.,1.,Mà đôi khi hông cần tìm người hoàn hảo…chỉ cần gặp đúng người lúc mình cần một cái tựa vai thôi hén a,,,,,
逗笑分享情感,"Chọc cười, sẻ chia cảm xúc với đối phương",1.,1.,Những người như vậy dễ kiếm nhưng khó giữ a nghĩ vậy đúng hông nè,,,,,
逗笑分享情感,"Chọc cười, sẻ chia cảm xúc với đối phương",2.,2.,Hqua e ăn mì cay xong khóc như thất tình vậy á.. a thấy a có ngốc hông chứ,,,,,
逗笑分享情感,"Chọc cười, sẻ chia cảm xúc với đối phương",2.,2.,Nhưng mà e thấy vị cay của tình đời còn cay hơn nhìu a ơi,,,,,
逗笑分享情感,"Chọc cười, sẻ chia cảm xúc với đối phương",2.,2.,Có lúc buồn mà hông nói được với ai tự nhiên thèm ăn cay kiểu cho nó cay một lần rồi thôi á,,,,,
逗笑分享情感,"Chọc cười, sẻ chia cảm xúc với đối phương",2.,2.,"Mà nói vậy chớ… cũng chỉ mong có người hiểu mình, ngồi ăn cùng, rồi cười xoa dịu nỗi buồn",,,,,
逗笑分享情感,"Chọc cười, sẻ chia cảm xúc với đối phương",2.,2.,Hông biết a có từng kiểu vậy chưa nè..,,,,,
逗笑分享情感,"Chọc cười, sẻ chia cảm xúc với đối phương",3.,3.,Thật ra e không thích nói chuyện với nhiều người đâu…,,,,,
逗笑分享情感,"Chọc cười, sẻ chia cảm xúc với đối phương",3.,3.,Vì nói chuyện với a là đủ mất tập trung cả ngày rồi á,,,,,
逗笑分享情感,"Chọc cười, sẻ chia cảm xúc với đối phương",3.,3.,A có từng như vậy với ai chưa,,,,,
逗笑分享情感,"Chọc cười, sẻ chia cảm xúc với đối phương",3.,3.,"E á, không đẹp nghiêng nước nghiêng thành…",,,,,
逗笑分享情感,"Chọc cười, sẻ chia cảm xúc với đối phương",3.,3.,Chỉ nghiêng nhẹ về phía a hoy,,,,,
逗笑分享情感,"Chọc cười, sẻ chia cảm xúc với đối phương",3.,3.,A có tin vào duyên số hông? E thì tin đó nha,,,,,
逗笑分享情感,"Chọc cười, sẻ chia cảm xúc với đối phương",4.,4.,E hứa với bản thân là hôm nay ăn clean nhưng mà..,,,,,
逗笑分享情感,"Chọc cười, sẻ chia cảm xúc với đối phương",4.,4.,Bây giờ e đang ngồi ăn bánh tráng trộn huhu,,,,,
逗笑分享情感,"Chọc cười, sẻ chia cảm xúc với đối phương",4.,4.,"E tự cảm thấy có lỗi với bản thân quá a à, a có khi nào hư như e hông..",,,,,
逗笑分享情感,"Chọc cười, sẻ chia cảm xúc với đối phương",4.,4.,"Chắc kiếp trước e là con sâu ăn vặt, giờ nghiệp nó quật á a",,,,,
逗笑分享情感,"Chọc cười, sẻ chia cảm xúc với đối phương",4.,4.,Ủa mà..có đang ăn gì hông?,,,,,
逗笑分享情感,"Chọc cười, sẻ chia cảm xúc với đối phương",4.,4.,"Chứ e thấy a toàn hiện trong đầu e hoài á, chắc hơi đói thính quá",,,,,
逗笑分享情感,"Chọc cười, sẻ chia cảm xúc với đối phương",5 .,5 .,"A rep chậm quá, e tưởng a đang tính toán chuyện tương lai mình luôn rồi chớ 😆",,,,,
逗笑分享情感,"Chọc cười, sẻ chia cảm xúc với đối phương",5 .,5 .,Mà tính lẹ lẹ nha chớ e còn nhiều người xếp hàng lắm á,,,,,
逗笑分享情感,"Chọc cười, sẻ chia cảm xúc với đối phương",5 .,5 .,E giỡn xíu thôi nè..,,,,,
逗笑分享情感,"Chọc cười, sẻ chia cảm xúc với đối phương",5 .,5 .,A có bao giờ kiểu mệt mà vẫn phải cười phải tỏ ra ổn hông?,,,,,
逗笑分享情感,"Chọc cười, sẻ chia cảm xúc với đối phương",5 .,5 .,E hỏi chỉ muốn a xem có người hiểu cái cảm giác đó hông thôi à,,,,,
自我介绍小秘密,"Giới thiệu ngắn gọn về bản thân, Khoe chút bí mật nho nhỏ",1.,1.,"E thuộc team sống đơn giản, hông drama, hông bon chen a ạ",,,,,
自我介绍小秘密,"Giới thiệu ngắn gọn về bản thân, Khoe chút bí mật nho nhỏ",1.,1.,"Mấy cái nhẹ nhàng, chân thành là auto e mê luôn á",,,,,
自我介绍小秘密,"Giới thiệu ngắn gọn về bản thân, Khoe chút bí mật nho nhỏ",1.,1.,"Mà có 1 chuyện hơi mắc cỡ xíu, a có mún biết hông nè...",,,,,
自我介绍小秘密,"Giới thiệu ngắn gọn về bản thân, Khoe chút bí mật nho nhỏ",1.,1.,"Đó là mỗi lần buồn e đều viết nhật ký nhưng viết xong tự xé bỏ luôn á, e hông dám giữ lại vì sợ sau này đọc lại sẽ khóc",,,,,
自我介绍小秘密,"Giới thiệu ngắn gọn về bản thân, Khoe chút bí mật nho nhỏ",1.,1.,A thấy e có yếu đuối quá ko nè,,,,,
自我介绍小秘密,"Giới thiệu ngắn gọn về bản thân, Khoe chút bí mật nho nhỏ",2. ,2. ,E là ng sống thiên về cảm xúc,,,,,
自我介绍小秘密,"Giới thiệu ngắn gọn về bản thân, Khoe chút bí mật nho nhỏ",2. ,2. ,Nhưng biết kiểm soát cảm xúc của mình,,,,,
自我介绍小秘密,"Giới thiệu ngắn gọn về bản thân, Khoe chút bí mật nho nhỏ",2. ,2. ,E chọn cách sống chậm để hiểu rõ mình và hiểu kỹ người ta nữa,,,,,
自我介绍小秘密,"Giới thiệu ngắn gọn về bản thân, Khoe chút bí mật nho nhỏ",2. ,2. ,Có điều ko phải ai cũng biết về e đó là e từng từ chối vài cơ hội chỉ vì không muốn đánh đổi sự bình yên,,,,,
自我介绍小秘密,"Giới thiệu ngắn gọn về bản thân, Khoe chút bí mật nho nhỏ",2. ,2. ,Với e giá trị không nằm ở ồn ào mà ở việc mình có sống đúng với điều mình tin không nè,,,,,
自我介绍小秘密,"Giới thiệu ngắn gọn về bản thân, Khoe chút bí mật nho nhỏ",2. ,2. ,A cảm thấy sao nè...!,,,,,
自我介绍小秘密,"Giới thiệu ngắn gọn về bản thân, Khoe chút bí mật nho nhỏ",3.,3.,E thuộc kiểu sống có nguyên tắc nhẹ á a..,,,,,
自我介绍小秘密,"Giới thiệu ngắn gọn về bản thân, Khoe chút bí mật nho nhỏ",3.,3.,Không ràng buộc ai nhưng cũng ko dễ để ai bước vô á nha,,,,,
自我介绍小秘密,"Giới thiệu ngắn gọn về bản thân, Khoe chút bí mật nho nhỏ",3.,3.,Qtrọng nhất với e ko phải là người ta có gì mà là người ta sống ra sao với chính mình và người bên cạnh,,,,,
自我介绍小秘密,"Giới thiệu ngắn gọn về bản thân, Khoe chút bí mật nho nhỏ",3.,3.,"E ít nói về bản thân, nhưng ai đủ kiên nhẫn lắng nghe..sẽ thấy e không phải kiểu dễ thay thế nè",,,,,
自我介绍小秘密,"Giới thiệu ngắn gọn về bản thân, Khoe chút bí mật nho nhỏ",3.,3.,"A cảm nhận ntn về e dạ...e mún biết, a nói e nghe đi ",,,,,
自我介绍小秘密,"Giới thiệu ngắn gọn về bản thân, Khoe chút bí mật nho nhỏ",4.,4.,E là kiểu người thích những thứ bền lâu nè a,,,,,
自我介绍小秘密,"Giới thiệu ngắn gọn về bản thân, Khoe chút bí mật nho nhỏ",4.,4.,Cả trong công việc lẫn tình cảm lun nè,,,,,
自我介绍小秘密,"Giới thiệu ngắn gọn về bản thân, Khoe chút bí mật nho nhỏ",4.,4.,"Ko cần ai quá hoàn hảo, chỉ cần đủ tử tế là e trân quý",,,,,
自我介绍小秘密,"Giới thiệu ngắn gọn về bản thân, Khoe chút bí mật nho nhỏ",4.,4.,E sống tình cảm mà chọn ai là kỹ lắm đó nha ,,,,,
自我介绍小秘密,"Giới thiệu ngắn gọn về bản thân, Khoe chút bí mật nho nhỏ",4.,4.,Vì với e tình cảm thật sự ko dễ thay thế,,,,,
自我介绍小秘密,"Giới thiệu ngắn gọn về bản thân, Khoe chút bí mật nho nhỏ",4.,4.,A có tin vô chuyện “gặp đúng người đúng lúc” hông nè... e thì tin lắm đó ,,,,,
关心工作生活建立信任,"Hỏi han về công việc, cuộc sống của người ta. Tạo cảm giác tin tưởng, an tâm",1.,1.,Dạo này a đi làm ổn hông á?,,,,,
关心工作生活建立信任,"Hỏi han về công việc, cuộc sống của người ta. Tạo cảm giác tin tưởng, an tâm",1.,1.,Cv có áp lực gì ko a,,,,,
关心工作生活建立信任,"Hỏi han về công việc, cuộc sống của người ta. Tạo cảm giác tin tưởng, an tâm",1.,1.,"E thấy mấy bữa a hay online khuya, hông biết a có việc bận hay sao nữa..",,,,,
关心工作生活建立信任,"Hỏi han về công việc, cuộc sống của người ta. Tạo cảm giác tin tưởng, an tâm",1.,1.,A có hay tâm sự vs ai ko a ..,,,,,
关心工作生活建立信任,"Hỏi han về công việc, cuộc sống của người ta. Tạo cảm giác tin tưởng, an tâm",1.,1.,"E hỏi v thôi chớ k tò mò gì đâu, chỉ là…",,,,,
关心工作生活建立信任,"Hỏi han về công việc, cuộc sống của người ta. Tạo cảm giác tin tưởng, an tâm",1.,1.,"Nếu lúc nào đó a thấy mệt, cần ng nghe cho nhẹ lòng thì e ở đây nha",,,,,
关心工作生活建立信任,"Hỏi han về công việc, cuộc sống của người ta. Tạo cảm giác tin tưởng, an tâm",1.,1.,E k giỏi khuyên hay nói đạo lý gì đâu,,,,,
关心工作生活建立信任,"Hỏi han về công việc, cuộc sống của người ta. Tạo cảm giác tin tưởng, an tâm",1.,1.,Mà ai nói e nghe đc hết á nghe kỹ nữa là khác..,,,,,
关心工作生活建立信任,"Hỏi han về công việc, cuộc sống của người ta. Tạo cảm giác tin tưởng, an tâm",1.,1.,Tại e hiểu cảm giác cô đơn trong im lặng nó mệt cỡ nào luôn á,,,,,
关心工作生活建立信任,"Hỏi han về công việc, cuộc sống của người ta. Tạo cảm giác tin tưởng, an tâm",2.,2.,Bữa nay a đi làm zui k?,,,,,
关心工作生活建立信任,"Hỏi han về công việc, cuộc sống của người ta. Tạo cảm giác tin tưởng, an tâm",2.,2.,Có ai làm a bực k?,,,,,
关心工作生活建立信任,"Hỏi han về công việc, cuộc sống của người ta. Tạo cảm giác tin tưởng, an tâm",2.,2.,"E biết đi làm gặp nhiều kiểu ng lắm, nhìu lúc tức  mà k nói nên lời lun á",,,,,
关心工作生活建立信任,"Hỏi han về công việc, cuộc sống của người ta. Tạo cảm giác tin tưởng, an tâm",2.,2.,Nhưng mà nhiều lúc tức mà cười cho qua chớ sao giờ a ha...,,,,,
关心工作生活建立信任,"Hỏi han về công việc, cuộc sống của người ta. Tạo cảm giác tin tưởng, an tâm",2.,2.,"Mà nếu a muốn xả gì đó cho đỡ bí thì cứ nói với e nha…e hông phán xét gì đâu, e chỉ ngồi lắng nghe a tâm sự thôi",,,,,
关心工作生活建立信任,"Hỏi han về công việc, cuộc sống của người ta. Tạo cảm giác tin tưởng, an tâm",3. ,3. ,Tối nay a mệt k?,,,,,
关心工作生活建立信任,"Hỏi han về công việc, cuộc sống của người ta. Tạo cảm giác tin tưởng, an tâm",3. ,3. ,E thấy a onl mà im ru à,,,,,
关心工作生活建立信任,"Hỏi han về công việc, cuộc sống của người ta. Tạo cảm giác tin tưởng, an tâm",3. ,3. ,E bít có nhiều lúc k vui nhưng cũng k muốn nói với ai hết trơn á,,,,,
关心工作生活建立信任,"Hỏi han về công việc, cuộc sống của người ta. Tạo cảm giác tin tưởng, an tâm",3. ,3. ,E hiểu cảm giác đó lắm luôn..Nhưng mà a ơi..,,,,,
关心工作生活建立信任,"Hỏi han về công việc, cuộc sống của người ta. Tạo cảm giác tin tưởng, an tâm",3. ,3. ,Chỉ là nếu có 1 ng bít lắng nghe thì dễ thở hơn nhìu á a...nếu a cần ai như zị ó thì có e ở đây nhen 😚,,,,,
学历教育工作职位,"Học vấn: trường đại học, chuyên ngành Công việc: ngành nghề, vị trí, nhiệm vụ hằng ngày",1. ,1. ,Hồi trc a học trg nào dzạ?,,,,,
学历教育工作职位,"Học vấn: trường đại học, chuyên ngành Công việc: ngành nghề, vị trí, nhiệm vụ hằng ngày",1. ,1. ,A học đúng ngành a đang làm hông nè,,,,,
学历教育工作职位,"Học vấn: trường đại học, chuyên ngành Công việc: ngành nghề, vị trí, nhiệm vụ hằng ngày",1. ,1. ,Mà a học chuyên ngành gì á.. hỏi gì anh cũng biết chắc ngày xưa anh học đại học kinh tế hả,,,,,
学历教育工作职位,"Học vấn: trường đại học, chuyên ngành Công việc: ngành nghề, vị trí, nhiệm vụ hằng ngày",1. ,1. ,Làm cv đó có mệt hông..mỗi ngày a đi làm là làm mấy việc gì chính á,,,,,
学历教育工作职位,"Học vấn: trường đại học, chuyên ngành Công việc: ngành nghề, vị trí, nhiệm vụ hằng ngày",1. ,1. ,Có ngày nào mệt muốn tắt não k a ha..? E nghe làm văn phòng mà deadline dí là xỉu,,,,,
学历教育工作职位,"Học vấn: trường đại học, chuyên ngành Công việc: ngành nghề, vị trí, nhiệm vụ hằng ngày",2.,2.,A làm bên ngành gì zạ?,,,,,
学历教育工作职位,"Học vấn: trường đại học, chuyên ngành Công việc: ngành nghề, vị trí, nhiệm vụ hằng ngày",2.,2.,Có phải đúng ngành a học luôn hông?,,,,,
学历教育工作职位,"Học vấn: trường đại học, chuyên ngành Công việc: ngành nghề, vị trí, nhiệm vụ hằng ngày",2.,2.,Ngành đó e nghe thì quen chớ thiệt ra hong rành lắm á,,,,,
学历教育工作职位,"Học vấn: trường đại học, chuyên ngành Công việc: ngành nghề, vị trí, nhiệm vụ hằng ngày",2.,2.,Ngành này làm lâu có áp lực nhiều hông a?,,,,,
学历教育工作职位,"Học vấn: trường đại học, chuyên ngành Công việc: ngành nghề, vị trí, nhiệm vụ hằng ngày",2.,2.,A đang giữ vị trí gì trong cty vậy nè? Nghe sang quá chừng á,,,,,
学历教育工作职位,"Học vấn: trường đại học, chuyên ngành Công việc: ngành nghề, vị trí, nhiệm vụ hằng ngày",2.,2.,Làm v a có phải quản lý ai k hay làm độc lập thôi a ,,,,,
学历教育工作职位,"Học vấn: trường đại học, chuyên ngành Công việc: ngành nghề, vị trí, nhiệm vụ hằng ngày",2.,2.,"Vị trí này a làm lâu chưa nè, có tính lên cao nữa hông a ha",,,,,
学历教育工作职位,"Học vấn: trường đại học, chuyên ngành Công việc: ngành nghề, vị trí, nhiệm vụ hằng ngày",3.,3.,Cv mỗi ngày a làm gì là chính v a ớiii...,,,,,
学历教育工作职位,"Học vấn: trường đại học, chuyên ngành Công việc: ngành nghề, vị trí, nhiệm vụ hằng ngày",3.,3.,Quản lý team hay lo về chuyên môn á a,,,,,
学历教育工作职位,"Học vấn: trường đại học, chuyên ngành Công việc: ngành nghề, vị trí, nhiệm vụ hằng ngày",3.,3.,"E thấy ai làm văn phòng hay kêu bị deadline dí miết, hông biết a có bị dí hông ta..?",,,,,
学历教育工作职位,"Học vấn: trường đại học, chuyên ngành Công việc: ngành nghề, vị trí, nhiệm vụ hằng ngày",3.,3.,A học ngành đó xong đi làm luôn nghề đó cũng giỏi lắm luôn á trờiiii...,,,,,
学历教育工作职位,"Học vấn: trường đại học, chuyên ngành Công việc: ngành nghề, vị trí, nhiệm vụ hằng ngày",3.,3.,Chứ e toàn thấy người ta rẽ ngang hết trơn 😆,,,,,
学历教育工作职位,"Học vấn: trường đại học, chuyên ngành Công việc: ngành nghề, vị trí, nhiệm vụ hằng ngày",3.,3.,Mà a có hài lòng vị trí hiện tại chưa hay còn muốn lên nữa á..?,,,,,
学历教育工作职位,"Học vấn: trường đại học, chuyên ngành Công việc: ngành nghề, vị trí, nhiệm vụ hằng ngày",3.,3.,"E nghĩ a kiểu ng k những làm vì đam mê và còn vì trách nhiệm nữa, đúng hông a iuuu :))",,,,,
家庭父母兄弟姐妹,"Gia đình: ba mẹ, anh chị em, không khí nhà cửa",1.,1.,Nhà a có mấy ace v nè..?,,,,,
家庭父母兄弟姐妹,"Gia đình: ba mẹ, anh chị em, không khí nhà cửa",1.,1.,Ba mẹ a còn khoẻ hông..có sống chung với a luôn k ,,,,,
家庭父母兄弟姐妹,"Gia đình: ba mẹ, anh chị em, không khí nhà cửa",1.,1.,A có hay về nhà chơi với ba mẹ hong hay bận đi làm suốt luôn a ha... ,,,,,
家庭父母兄弟姐妹,"Gia đình: ba mẹ, anh chị em, không khí nhà cửa",1.,1.,Nhà a bình thường vui vẻ hông có hay quây quần ăn cơm chung k?,,,,,
家庭父母兄弟姐妹,"Gia đình: ba mẹ, anh chị em, không khí nhà cửa",1.,1.,E thấy ai lớn lên trong nhà ấm áp là nhìn cách nói chuyện thấy khác liền luôn nhen ,,,,,
家庭父母兄弟姐妹,"Gia đình: ba mẹ, anh chị em, không khí nhà cửa",2.,2.,Ba mẹ a lớn tuổi lắm k a ha..,,,,,
家庭父母兄弟姐妹,"Gia đình: ba mẹ, anh chị em, không khí nhà cửa",2.,2.,Ba mẹ a có ở gần a k hay sao a ha..,,,,,
家庭父母兄弟姐妹,"Gia đình: ba mẹ, anh chị em, không khí nhà cửa",2.,2.,A có hay chia sẻ chuyện cv hay mệt mỏi trong nhà k?,,,,,
家庭父母兄弟姐妹,"Gia đình: ba mẹ, anh chị em, không khí nhà cửa",2.,2.,E hỏi vậy thôi chớ tại e thấy ai mà có gđ ấm áp á là nhìn vô là thấy sự tử tế liền,,,,,
家庭父母兄弟姐妹,"Gia đình: ba mẹ, anh chị em, không khí nhà cửa",3.,3.,"Ba mẹ a dễ tính hông a, Cô chú có hay hỏi chuyện tình cảm của a hông á",,,,,
家庭父母兄弟姐妹,"Gia đình: ba mẹ, anh chị em, không khí nhà cửa",3.,3., A có hay phụ mẹ nấu ăn hông dạ ta,,,,,
家庭父母兄弟姐妹,"Gia đình: ba mẹ, anh chị em, không khí nhà cửa",3.,3.,"A có hay dắt ba mẹ đi chơi, ăn uống này kia hông a, e thấy ai làm đc vậy là thương nhà dữ lắm luôn á ",,,,,
家庭父母兄弟姐妹,"Gia đình: ba mẹ, anh chị em, không khí nhà cửa",3.,3.,A là kiểu hay lo cho gđ lắm hen..tại nhìn a là thấy kiểu sống tình cảm á 😚,,,,,
家庭父母兄弟姐妹,"Gia đình: ba mẹ, anh chị em, không khí nhà cửa",4. ,4. ,A là kiểu hay về quê chơi với gđ hay ở SG suốt luôn dạ,,,,,
家庭父母兄弟姐妹,"Gia đình: ba mẹ, anh chị em, không khí nhà cửa",4. ,4. ,Ba mẹ a có hay gọi điện hỏi thăm hông? Hay kiểu hiểu tính a nên để a tự sống tự biết chăm mình á..,,,,,
家庭父母兄弟姐妹,"Gia đình: ba mẹ, anh chị em, không khí nhà cửa",4. ,4. ,A có hay tâm sự chuyện cv vs ba mẹ a k nè,,,,,
家庭父母兄弟姐妹,"Gia đình: ba mẹ, anh chị em, không khí nhà cửa",4. ,4. ,"E hỏi vậy chớ ai mà thương gđ thiệt lòng, thường sống rất có trách nhiệm luôn đó nha",,,,,
朋友关系社交活动,"Bạn bè: mối quan hệ, tụ tập, hoạt động xã hội",1. ,1. ,Dạo này cv a bận lắm k nè.. có hay phải chạy gặp khách hàng hông a,,,,,
朋友关系社交活动,"Bạn bè: mối quan hệ, tụ tập, hoạt động xã hội",1. ,1. ,A thuộc team thích yên tĩnh hay kiểu phải ra ngoài gặp ng ta mới thấy có năng lượng á,,,,,
朋友关系社交活动,"Bạn bè: mối quan hệ, tụ tập, hoạt động xã hội",1. ,1. ,"A hay đi nhậu hay cf vs đồng nghiệp, bạn bè k a..",,,,,
朋友关系社交活动,"Bạn bè: mối quan hệ, tụ tập, hoạt động xã hội",1. ,1. ,"Trong nhóm bạn a có hay chơi chung với bạn nữ hông? E hỏi cho biết thôi nhen, chớ e k phải gu hay suy diễn á 😝",,,,,
朋友关系社交活动,"Bạn bè: mối quan hệ, tụ tập, hoạt động xã hội",1. ,1. ,Có khi nào bạn a hiểu a hơn cả người yêu chưa?,,,,,
朋友关系社交活动,"Bạn bè: mối quan hệ, tụ tập, hoạt động xã hội",1. ,1. ,Tại e tin mqh bạn bè mà chất là gắn bó kiểu rất sâu là hiểu nhau dữ lém,,,,,
朋友关系社交活动,"Bạn bè: mối quan hệ, tụ tập, hoạt động xã hội",2.,2.,A hay đi gặp đối tác hay làm trong cty là chính v?,,,,,
朋友关系社交活动,"Bạn bè: mối quan hệ, tụ tập, hoạt động xã hội",2.,2.,Cv kiểu vậy có thường phải ra ngoài giao lưu nhiều hông á?,,,,,
朋友关系社交活动,"Bạn bè: mối quan hệ, tụ tập, hoạt động xã hội",2.,2.,Bạn thân a là kiểu tri kỷ lâu năm hay thỉnh thoảng mới gặp tám chuyện đời dạ..e thì hay cf tám chuyện với bạn lắm,,,,,
朋友关系社交活动,"Bạn bè: mối quan hệ, tụ tập, hoạt động xã hội",2.,2.,Trong nhóm bạn a chơi có bạn nữ nhiều hong? E thấy a vui vẻ v chắc được lòng mấy bạn nữ lắm á,,,,,
朋友关系社交活动,"Bạn bè: mối quan hệ, tụ tập, hoạt động xã hội",2.,2.,"Mà a là kiểu dễ chia sẻ tâm sự với bạn, hay giữ trong lòng hết luôn dạ? nói cho e bít đi mà",,,,,
朋友关系社交活动,"Bạn bè: mối quan hệ, tụ tập, hoạt động xã hội",3. ,3. ,A hay đi đâu cho thư giãn sau giờ làm hông?,,,,,
朋友关系社交活动,"Bạn bè: mối quan hệ, tụ tập, hoạt động xã hội",3. ,3. ,"E chỉ thích về nhà nghỉ ngơ, cuối tuần e mới ra ngoài thư giãn. A có như e hông á",,,,,
朋友关系社交活动,"Bạn bè: mối quan hệ, tụ tập, hoạt động xã hội",3. ,3. ,Nhìn a v chắc mqh xã hội rộng lắm hen,,,,,
朋友关系社交活动,"Bạn bè: mối quan hệ, tụ tập, hoạt động xã hội",3. ,3. ,Bạn bè nhiều chắc nt tới tối chưa hết quá a ha hihi ,,,,,
朋友关系社交活动,"Bạn bè: mối quan hệ, tụ tập, hoạt động xã hội",3. ,3. ,Nhìn anh trông đẹp trai vậy chắc nhiều mối quan hệ là bạn nữ lắm hén ,,,,,
朋友关系社交活动,"Bạn bè: mối quan hệ, tụ tập, hoạt động xã hội",3. ,3. ,E hỏi v thôi chớ kiểu a sống tình cảm chắc đc nhìu ng yêu mến lắm,,,,,
朋友关系社交活动,"Bạn bè: mối quan hệ, tụ tập, hoạt động xã hội",3. ,3. ,Mà có ai từng say nắng nhẹ b nữ nào chưa?,,,,,
朋友关系社交活动,"Bạn bè: mối quan hệ, tụ tập, hoạt động xã hội",3. ,3. ,E hỏi chơi vậy thôi chớ cũng muốn biết a là kiểu rõ ràng hay hay để mọi thứ tùy cảm xúc á hihi,,,,,
对事业金钱健康态度,"Thái độ với sự nghiệp, tiền bạc, sức khỏe",1.,1.,"Quan điểm của e là ưu tiên công việc hàng đầu sau đó mới đến sở thích, còn a thì sao nè ?",,,,,
对事业金钱健康态度,"Thái độ với sự nghiệp, tiền bạc, sức khỏe",1.,1.,Trông a có vẻ bận như vậy thì a sắp xếp công việc a ntn zậy a...,,,,,
对事业金钱健康态度,"Thái độ với sự nghiệp, tiền bạc, sức khỏe",1.,1.,"Đối với e có tiền là giải quyết đc tất cả, còn snghĩ của a ntn... ?",,,,,
对事业金钱健康态度,"Thái độ với sự nghiệp, tiền bạc, sức khỏe",2. ,2. ,"Thật lòng e mún biết...a là kiểu ng đặt sự nghiệp lên đầu hay cần sự cân bằng giữa cv, cuộc sống và tình cảm zậy ạ",,,,,
对事业金钱健康态度,"Thái độ với sự nghiệp, tiền bạc, sức khỏe",2. ,2. ,"E là ng lun bị cuốn vào công việc, đối với e cv là trên hết vì k tiền k làm phiền đc thiên hạ a ơi...",,,,,
对事业金钱健康态度,"Thái độ với sự nghiệp, tiền bạc, sức khỏe",2. ,2. ,Còn a hiện tại thứ gì đang chiếm tâm trí a nhiều nhất? ,,,,,
对事业金钱健康态度,"Thái độ với sự nghiệp, tiền bạc, sức khỏe",3.,3.,"E là kiểu con gái độc lập á…thích kiếm tiền thích làm chủ cuộc sống của mình, còn a thì s..?",,,,,
对事业金钱健康态度,"Thái độ với sự nghiệp, tiền bạc, sức khỏe",3.,3.,Quan điểm của e là ưu tiên công việc hàng đầu rồi mới tới sở thích hay mấy thứ vui vẻ khác nè,,,,,
对事业金钱健康态度,"Thái độ với sự nghiệp, tiền bạc, sức khỏe",3.,3.,"E nghĩ khi còn trẻ chịu cực trước sướng sau còn hơn cứ sống kiểu tuỳ duyên mà không lo gì hết, a ok hông?",,,,,
对事业金钱健康态度,"Thái độ với sự nghiệp, tiền bạc, sức khỏe",3.,3.,Nhìn a thì cũng bận rộn ghê á chắc cũng đang lo nhiều thứ lắm a hén,,,,,
对事业金钱健康态度,"Thái độ với sự nghiệp, tiền bạc, sức khỏe",3.,3.,"Suy nghĩ của a về tiền bạc, về trách nhiệm trong cuộc sống ntn nè?",,,,,
解决问题方式,Cách giải quyết vấn đề: gặp khó thì xử lý ra sao,1.,1.,Trong công việc nếu gặp khó khăn thì a xử lý ntn zậy?,,,,,
解决问题方式,Cách giải quyết vấn đề: gặp khó thì xử lý ra sao,1.,1.,Anh có đồng tình với việc tìm hiểu một lúc nhiều ng ko a,,,,,
